sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
yhevj,,Default,simple,"Global Store PH,Global Store US/At Home",gs_us,"Cod - Salted, Boneless","<p>Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.</p><p>Fusce consequat. Nulla nisl. Nunc nisl.</p>",,,1,"Taxable Goods","Catalog, Search",564.9300,,,,cod-salted-boneless,"Cod - Salted, Boneless","Cod - Salted, Boneless","Cod - Salted, Boneless",/h/t/httpvia.placeholder.com220x2795fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com220x2795fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com220x2795fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com220x2795fa2ddffffff.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",Ukraine,,172.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com220x2795fa2ddffffff.jpg,,,,,,,,,,,,
gaano,,Default,simple,"Global Store GB,Global Store GB/At Home",gs_gb,"Beans - Kidney White","<p>Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.</p><p>Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.</p>",,,1,"Taxable Goods","Catalog, Search",157.8700,,,,beans-kidney-white,"Beans - Kidney White","Beans - Kidney White","Beans - Kidney White",/h/t/httpvia.placeholder.com241x229dddddd000000.jpg,,/h/t/httpvia.placeholder.com241x229dddddd000000.jpg,,/h/t/httpvia.placeholder.com241x229dddddd000000.jpg,,/h/t/httpvia.placeholder.com241x229dddddd000000.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",China,,77.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com241x229dddddd000000.jpg,,,,,,,,,,,,
ngrdr,,Default,simple,"Global Store AU,Global Store AU/At Home",gs_au,Watercress,"<p>Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.</p><p>Phasellus in felis. Donec semper sapien a libero. Nam dui.</p>",,,1,"Taxable Goods","Catalog, Search",163.0200,,,,watercress,Watercress,Watercress,Watercress,/h/t/httpvia.placeholder.com281x202dddddd000000.jpg,,/h/t/httpvia.placeholder.com281x202dddddd000000.jpg,,/h/t/httpvia.placeholder.com281x202dddddd000000.jpg,,/h/t/httpvia.placeholder.com281x202dddddd000000.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",China,,543.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com281x202dddddd000000.jpg,,,,,,,,,,,,
mwkep,,Default,simple,"Global Store AU,Global Store AU/At Home",gs_au,"Glass - Wine, Plastic, Clear 5 Oz","<p>Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.</p><p>Phasellus in felis. Donec semper sapien a libero. Nam dui.</p><p>Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.</p><p>Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.</p>",,,1,"Taxable Goods","Catalog, Search",830.8600,,,,glass-wine-plastic-clear-5-oz,"Glass - Wine, Plastic, Clear 5 Oz","Glass - Wine, Plastic, Clear 5 Oz","Glass - Wine, Plastic, Clear 5 Oz",/h/t/httpvia.placeholder.com247x2615fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com247x2615fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com247x2615fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com247x2615fa2ddffffff.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",Philippines,,730.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com247x2615fa2ddffffff.jpg,,,,,,,,,,,,
ubrus,,Default,simple,"Global Store PH,Global Store US/At Home",gs_us,"Appetizer - Veg Assortment","<p>Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.</p><p>Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.</p><p>Fusce consequat. Nulla nisl. Nunc nisl.</p>",,,1,"Taxable Goods","Catalog, Search",310.6100,,,,appetizer-veg-assortment,"Appetizer - Veg Assortment","Appetizer - Veg Assortment","Appetizer - Veg Assortment",/h/t/httpvia.placeholder.com232x256ff4444ffffff.jpg,,/h/t/httpvia.placeholder.com232x256ff4444ffffff.jpg,,/h/t/httpvia.placeholder.com232x256ff4444ffffff.jpg,,/h/t/httpvia.placeholder.com232x256ff4444ffffff.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",China,,147.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com232x256ff4444ffffff.jpg,,,,,,,,,,,,
ycrnr,,Default,simple,"Global Store PH,Global Store US/At Home",gs_us,Beets,"<p>Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.</p><p>Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.</p>",,,1,"Taxable Goods","Catalog, Search",713.1700,,,,beets,Beets,Beets,Beets,/h/t/httpvia.placeholder.com287x2175fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com287x2175fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com287x2175fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com287x2175fa2ddffffff.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",China,,292.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com287x2175fa2ddffffff.jpg,,,,,,,,,,,,
fwlul,,Default,simple,"Global Store CN,Global Store CN/At Home",gs_cn,"Beef - Diced","<p>Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.</p><p>Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.</p><p>Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.</p><p>Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.</p><p>Fusce consequat. Nulla nisl. Nunc nisl.</p>",,,1,"Taxable Goods","Catalog, Search",277.5700,,,,beef-diced,"Beef - Diced","Beef - Diced","Beef - Diced",/h/t/httpvia.placeholder.com202x208cc0000ffffff.jpg,,/h/t/httpvia.placeholder.com202x208cc0000ffffff.jpg,,/h/t/httpvia.placeholder.com202x208cc0000ffffff.jpg,,/h/t/httpvia.placeholder.com202x208cc0000ffffff.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",China,,41.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com202x208cc0000ffffff.jpg,,,,,,,,,,,,
nlcbf,,Default,simple,"Global Store GB,Global Store GB/At Home",gs_gb,"Pork - Side Ribs","<p>Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.</p><p>Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.</p><p>Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.</p>",,,1,"Taxable Goods","Catalog, Search",868.8900,,,,pork-side-ribs,"Pork - Side Ribs","Pork - Side Ribs","Pork - Side Ribs",/h/t/httpvia.placeholder.com283x286ff4444ffffff.jpg,,/h/t/httpvia.placeholder.com283x286ff4444ffffff.jpg,,/h/t/httpvia.placeholder.com283x286ff4444ffffff.jpg,,/h/t/httpvia.placeholder.com283x286ff4444ffffff.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",Canada,,612.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com283x286ff4444ffffff.jpg,,,,,,,,,,,,
kyosw,,Default,simple,"Global Store AU,Global Store AU/At Home",gs_au,"Long Island Ice Tea","<p>Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.</p><p>Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.</p><p>Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.</p><p>Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.</p><p>Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.</p>",,,1,"Taxable Goods","Catalog, Search",130.8700,,,,long-island-ice-tea,"Long Island Ice Tea","Long Island Ice Tea","Long Island Ice Tea",/h/t/httpvia.placeholder.com264x2165fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com264x2165fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com264x2165fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com264x2165fa2ddffffff.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",China,,707.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com264x2165fa2ddffffff.jpg,,,,,,,,,,,,
fdnzk,,Default,simple,"Global Store GB,Global Store GB/At Home",gs_gb,"Cheese - Cheddar, Old White","<p>Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.</p><p>Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.</p>",,,1,"Taxable Goods","Catalog, Search",911.6300,,,,cheese-cheddar-old-white,"Cheese - Cheddar, Old White","Cheese - Cheddar, Old White","Cheese - Cheddar, Old White",/h/t/httpvia.placeholder.com293x2485fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com293x2485fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com293x2485fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com293x2485fa2ddffffff.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",Indonesia,,60.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com293x2485fa2ddffffff.jpg,,,,,,,,,,,,
